Comunidad Autónoma,Ciencias,Habilidad lectora,Matemáticas
Andalucía,473,461,457
Aragón,499,488,487
Asturias,503,497,495
Cantabria,504,494,495
Castilla y León,506,498,499
Castilla-La Mancha,475,468,464
Cataluña,477,462,469
Ceuta,410,404,395
Comunidad Valenciana,483,482,473
Comunidad de Madrid,502,496,494
Extremadura,479,468,469
Galicia,506,485,486
Islas Baleares,480,472,471
Islas Canarias,473,463,447
La Rioja,500,487,493
Media España,485,474,473
Media OCDE,485,476,472
Melilla,414,405,404
Navarra,489,478,492
País Vasco,480,466,482
Promedio EU,484,475,474
Región de Murcia,482,468,463
